dataset id,app name,personal data categories,login categories,personal data targets,unspecific data categories,personal data usage mentioned in app description,source of rating information,reasonableness of personal data collection,secure data transmission,notes,rater,,,
1233,CPR Choking,,None,,Analytics,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1239,Pregnancy Ticker,Life status specs,None,,"Advertisers / Marketeers, Analytics",1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
1242,Stretch Exercises,,None,,"Advertisers / Marketeers, Analytics",0,"Screenshots, App downloaded, HTTP Proxy",0,,Identität,Joel,,,
1243,Music Therapy for Refreshment,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1246,Prenatal Lullabies Lite,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1248,Calming Music to Tranquilize,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1250,Yoga Moment Lite,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1251,Simple Weight Loss Resolution,Body specs,None,,"Advertisers / Marketeers, Analytics",1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
1252,Thunderstorm Sleep sound,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1255,Yoga Nidra Meditation (Free),,None,,,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1257,Calming Music to Simplicity,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1258,Relax Rain drops Sleep,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1260,Relax Ocean waves Sleep,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1262,My Tracks,Workout / Activities,None,"App provider, Advertisers / Marketeers",Analytics,1,"Screenshots, App downloaded, HTTP Proxy, Privacy policy",1,1,,Joel,,,
1265,Calorie Counter - MyFitnessPal,"Address, Body specs, Life status specs, Food intake",Email,"App provider, Advertisers / Marketeers","Advertisers / Marketeers, Analytics",1,"Screenshots, App downloaded, HTTP Proxy",1,1,"Kontakte, Identität etc",Joel,,,
1266,Sugar log,Vital values,None,,"Advertisers / Marketeers, Analytics",1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
1270,Waterfall Relax Sound,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1272,Advanced Eye Charts (Trial),,None,,"Advertisers / Marketeers, Analytics",0,"Screenshots, App downloaded, HTTP Proxy",,,Sehtest? Daten relevant?,Joel,,,
1273,Tropic rain forest stress,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1276,Ocean Sleeper Sound,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1277,Noom CardioTrainer,Workout / Activities,None,App provider,"Advertisers / Marketeers, Analytics",1,"Screenshots, App downloaded, HTTP Proxy, Privacy policy",0,1,"Identität, Kontakte",Joel,,,
1278,aBMI,Body specs,None,,Analytics,1,"Screenshots, App downloaded, HTTP Proxy",1,,,Joel,,,
1284,Free From Smoking - Hypnosis,,None,,,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1290,Chakra Opening BrainwaveTrial,,None,,"Advertisers / Marketeers, Analytics",0,"Screenshots, App downloaded, HTTP Proxy",0,,Identität,Joel,,,
1306,Alarm Clock Plus,,None,,Advertisers / Marketeers,0,"Screenshots, App downloaded, HTTP Proxy",,,,Joel,,,
1308,Libra - Weight Manager,"Body specs, Food intake",None,,Advertisers / Marketeers,1,"Screenshots, App downloaded, HTTP Proxy",1,,Identität,Joel,,,
1326,PointsPlus Calculator,"Body specs, Food intake",Email,App provider,"Advertisers / Marketeers, Analytics",1,"App downloaded, HTTP Proxy",1,1,Weight Watchers mobile (kostenpflichitg),Joel,,,
1327,Alura: Free Cognitive Therapy,,,,,0,Screenshots,0,,"Kontakte, SMS, Telefon",Joel,,,
1367,CardioTrainer Widget,Workout / Activities,None,App provider,"Advertisers / Marketeers, Analytics",1,"Screenshots, App downloaded, HTTP Proxy, Privacy policy",1,1,,Joel,,,
