id;name;personal_category;login;personal_target;unspecific_target;personal_description;rating_source;data_reasonable;secure_transmission;rater;influence_key;archetype;privacy_index;privacy_index_confidence
2497;Handy Runner;workout / activities;false;;;true;screenshots,app downloaded,http proxy;true;;joel;category;12;1;0.8
2504;Kick Counter 1.5;life status specs;false;;advertisers / marketeers;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;5;11;0.8
2509;Skimble GPS Sports Tracker;workout / activities;false;app provider,facebook;advertisers / marketeers,analytics;true;screenshots,app downloaded,http proxy,privacy policy;true;false;joel;personal_target;5;50;0.9
2534;RxCase Minder;medication intake;false;;analytics;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;11;13;0.8
2553;"Your Baby's Development - Week";;false;;;false;app downloaded,http proxy;;;joel;;;0;0.8
2817;Personality Test;personality test;false;;advertisers / marketeers,analytics;true;app downloaded,http proxy;true;;joel;unspecific_target;;7;0.8
3009;heartbeat;vital values;false;;;true;app downloaded,http proxy;true;;joel;category;;6;0.8
3075;Natural Silences Lite;;false;;;false;screenshots,app downloaded,http proxy;;;joel;;;0;0.8
3954;Ideal Weight Stats - BMI / BFI;body specs;false;;advertisers / marketeers,analytics;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;5;10;0.8
4348;GO Sleeping Free;;false;;advertisers / marketeers,analytics;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;5;6;0.8
4681;Burn the Turkey - Widget;;false;;analytics;false;screenshots,app downloaded,http proxy;;;joel;unspecific_target;;6;0.8
4716;Med Minder - Free;medication intake;false;;advertisers / marketeers;true;screenshots,app downloaded,http proxy;true;;joel;unspecific_target;11;13;0.8
4877;First Aid White Cross;;false;;analytics;false;app downloaded,http proxy;;;thomas;unspecific_target;12;6;0.8
5273;EyeXam;symptoms;true;app provider;;true;app downloaded,http proxy;true;true;thomas;login_required;12;30;0.8
5628;Eponyms (for students);;false;;analytics,advertisers / marketeers;false;app downloaded,http proxy;;false;thomas;unspecific_target;5;6;0.8
5637;Epocrates;address;true;;analytics;false;app downloaded,http proxy;;false;thomas;login_required;3;24;0.8
6027;Easy Weight Loss Tips;;false;;advertisers / marketeers;false;screenshot,description;;;thomas;unspecific_target;;6;0.19999999999999996
6054;Drug Pronunciations Lite;;false;;advertisers / marketeers;false;screenshot,description;;;thomas;unspecific_target;;6;0.19999999999999996
6121;Dream Meanings;;false;;advertisers / marketeers;false;screenshot,description;;;thomas;unspecific_target;12;6;0.19999999999999996
6126;Dream Interpreter;;false;;advertisers / marketeers;false;screenshot,description;;;thomas;unspecific_target;6;6;0.19999999999999996
7027;"Davis's Drug Guide for Mobile + Web";;true;;advertisers / marketeers;true;app downloaded,screenshots,description,http proxy;true;;thomas;login_required;2;20;0.8
7174;Cures A-Z;;false;;advertisers / marketeers;false;screenshot,description;;;thomas;unspecific_target;9;6;0.19999999999999996
8083;Brain Tutor 3D;;false;;advertisers / marketeers;false;screenshot,description;;;thomas;unspecific_target;;6;0.19999999999999996
8254;Calculate (Medical Calculator) by QxMD;address,vital values;true;app provider,advertisers / marketeers;analytics,advertisers / marketeers;true;app downloaded,http proxy,privacy policy;true;true;thomas;personal_target;5;64;0.9
8912;Baby Pregnancy Tracker (Lite);life status specs;false;;;false;app downloaded,http proxy;;;thomas;category;9;4;0.8
9073;Blood Pressure Monitor - Family Lite;body specs,medication intake;true;app provider,advertisers / marketeers;analytics,advertisers / marketeers;true;app downloaded,http proxy,privacy policy;true;true;thomas;personal_target;;63;0.9
9222;Beauty Tips;;false;;advertisers / marketeers;false;screenshot,description;;;thomas;unspecific_target;;6;0.19999999999999996
9224;Beauty Tips Full : How to become more beautiful...;;false;;advertisers / marketeers;false;description;;;thomas;unspecific_target;2;6;0.19999999999999996
9271;Best Diet Foods;;false;;advertisers / marketeers;false;screenshot,description;;;thomas;unspecific_target;;6;0.19999999999999996
9842;Amazing Human Calculator FREE;;false;;analytics,advertisers / marketeers;false;description,screenshots;false;;thomas;unspecific_target;;13;0.19999999999999996
10108;Anatomy Pronunciations Lite;;false;;;false;description,screenshots;;;thomas;;;0;0.19999999999999996
10638;ABG;body specs,vital values;false;;;true;app downloaded,http proxy;true;;thomas;category;6;9;0.8
10954;Health Tip of the Day;;false;;advertisers / marketeers;false;screenshot,description;;;thomas;unspecific_target;2;6;0.19999999999999996
